Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM5","HyperledgerTestStack/IntegrationTestNetwork/Identity/AdminProvider/framework-onEvent/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","HyperledgerTestStack/IntegrationTestNetwork/Identity/AdminProvider/framework-onEvent/ServiceRole/DefaultPolicy/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","HyperledgerTestStack/IntegrationTestNetwork/Identity/AdminProvider/framework-onEvent/Resource","Non-Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-EC23","HyperledgerTestStack/IntegrationTestNetwork/UserFunction/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","HyperledgerTestStack/IntegrationTestNetwork/UserFunction/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-L1","HyperledgerTestStack/IntegrationTestNetwork/UserFunction/Resource","Non-Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-IAM4","HyperledgerTestStack/IntegrationTestNetwork/UserProvider/framework-onEvent/ServiceRole/Resource","Suppressed","The CDK custom resource framework uses a managed policy for its Lambda","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","HyperledgerTestStack/IntegrationTestNetwork/UserProvider/framework-onEvent/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","HyperledgerTestStack/IntegrationTestNetwork/UserProvider/framework-onEvent/ServiceRole/DefaultPolicy/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","HyperledgerTestStack/IntegrationTestNetwork/UserProvider/framework-onEvent/Resource","Non-Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-IAM4","HyperledgerTestStack/AWS679f53fac002430cb0da5b7982bd2287/ServiceRole/Resource","Suppressed","The CDK custom resource framework uses a managed policy for its Lambda","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","HyperledgerTestStack/AWS679f53fac002430cb0da5b7982bd2287/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","HyperledgerTestStack/AWS679f53fac002430cb0da5b7982bd2287/Resource","Non-Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-IAM4","HyperledgerTestStack/LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8a/ServiceRole/Resource","Suppressed","The CDK custom resource framework uses a managed policy for its Lambda","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","HyperledgerTestStack/LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8a/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","HyperledgerTestStack/LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8a/ServiceRole/DefaultPolicy/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
